Nombre;Altura;Edad (2018);Valor de mercado;Partidos jugados;Goles;Asistencias;Amarillas;Rojas;Nacionalidad;Club ;Posición
Jae-Sung Lee;1,8;25;1,500,000;30;7;6;3;0;Corea del Sur;Jeonbuk Hyundai;Mediocentro ofensivo
Young-Gwon Kim;1,86;28;1,000,000;28;2;1;4;0;Corea del Sur;Guangzhou R&F;Defensa
Shin-Wook Kim;1,96;30;1,500,000;28;12;4;3;0;Corea del Sur;Jeonbuk Hyundai;Delantero
Ludwig Augustinsson;1,81;24;6,000,000;32;2;5;4;0;Suecia;Werder Bremen;Lateral
Hee-Chan Hwang;1,77;22;3,000,000;28;9;6;3;0;Corea del Sur;Red Bull Salzburg;Delantero
Andreas Granqvist;1,89;33;2,000,000;30;3;2;5;0;Suecia;Krasnodar;Defensa
Ola Toivonen;1,92;31;2,500,000;30;8;5;4;0;Suecia;Toulouse;Delantero
Ki Sung-Yueng;1,89;29;5,000,000;34;3;4;4;0;Corea del Sur;Swansea City;Mediocentro
Yong Lee;1,8;29;1,000,000;28;2;2;3;0;Corea del Sur;Jeonnam Dragons;Defensa
Emil Forsberg;1,79;26;25,000,000;34;7;8;4;0;Suecia;RB Leipzig;Extremo
Hyun-Soo Jang;1,87;26;1,500,000;28;2;1;3;0;Corea del Sur;FC Tokyo;Defensa
Marcus Berg;1,84;31;4,000,000;32;20;6;3;0;Suecia;Al Ain;Delantero
Jo Hyeon-Woo;1,89;26;1,000,000;28;0;0;2;0;Corea del Sur;Daegu FC;Portero
Albin Ekdal;1,86;28;4,000,000;30;3;3;4;0;Suecia;Hamburgo;Mediocentro
Sebastian Larsson;1,78;33;2,000,000;32;4;6;4;0;Suecia;Hull City;Mediocentro
Son Heung-Min;1,83;25;50,000,000;47;18;9;4;0;Corea del Sur;Tottenham;Extremo
Mikael Lustig;1,89;31;2,000,000;32;2;3;4;0;Suecia;Celtic;Defensa
Ja-Cheol Koo;1,82;29;3,000,000;30;6;5;3;0;Corea del Sur;Augsburg;Mediocentro
Pontus Jansson;1,94;27;5,000,000;32;2;1;5;0;Suecia;Leeds United;Defensa
Robin Olsen;1,96;28;4,000,000;34;0;0;2;0;Suecia;Copenhague;Portero
Viktor Claesson;1,83;26;8,000,000;34;10;7;4;0;Suecia;Krasnodar;Extremo
Joo-Ho Park;1,82;31;1,000,000;25;1;2;3;0;Corea del Sur;Borussia Dortmund;Lateral
Min-Woo Kim;1,74;28;800;26;2;3;3;0;Corea del Sur;Sangju Sangmu;Lateral
Woo-Young Jung;1,79;28;1,500,000;28;3;4;3;0;Corea del Sur;Vissel Kobe;Mediocentro
Oscar Hiljemark;1,82;26;4,000,000;32;5;6;4;0;Suecia;Genoa;Mediocentro
Seung-Woo Lee;1,73;20;1,500,000;22;4;3;2;0;Corea del Sur;Hellas Verona;Extremo
Isaac Kiese Thelin;1,89;25;3,000,000;30;12;4;3;0;Suecia;Anderlecht;Delantero
Gustav Svensson;1,85;31;2,000,000;30;2;3;4;0;Suecia;Seattle Sounders;Mediocentro
M’Baye Niang;1,84;23;10,000,000;32;9;5;4;0;Senegal;Torino;Delantero
Kalidou Koulibaly;1,87;27;60,000,000;45;5;2;6;0;Senegal;Napoli;Defensa
Thiago Cionek;1,84;32;1,500,000;28;1;1;4;0;Polonia;SPAL;Defensa
Piotr Zieli?ski;1,77;24;30,000,000;40;7;8;4;0;Polonia;Napoli;Mediocentro
Sadio Mané;1,75;26;80,000,000;44;20;9;5;0;Senegal;Liverpool;Extremo
Mame Biram Diouf;1,85;30;3,000,000;32;8;4;3;0;Senegal;Stoke City;Delantero
Micha? Pazdan;1,81;30;2,000,000;28;1;0;4;0;Polonia;Legia Varsovia;Defensa
Grzegorz Krychowiak;1,86;28;20,000,000;36;4;5;5;0;Polonia;West Bromwich;Mediocentro
Maciej Rybus;1,73;28;3,000,000;30;2;4;3;0;Polonia;Lokomotiv Moscú;Lateral
Idrissa Gueye;1,74;28;25,000,000;38;2;4;6;0;Senegal;Everton;Mediocentro
Youssouf Sabaly;1,74;25;6,000,000;32;2;3;4;0;Senegal;Bordeaux;Lateral
Jakub B?aszczykowski;1,75;32;4,000,000;28;3;5;3;0;Polonia;Wolfsburgo;Extremo
?ukasz Piszczek;1,84;33;5,000,000;30;2;3;4;0;Polonia;Borussia Dortmund;Lateral
Kamil Grosicki;1,8;29;4,000,000;34;7;8;3;0;Polonia;Hull City;Extremo
Robert Lewandowski;1,85;29;90,000,000;48;41;7;5;0;Polonia;Bayern Múnich;Delantero
Ismaila Sarr;1,85;20;15,000,000;32;6;5;3;0;Senegal;Rennes;Extremo
Moussa Wagué;1,74;19;2,000,000;26;2;3;3;0;Senegal;Eupen;Lateral
Salif Sané;1,96;27;12,000,000;34;3;2;5;0;Senegal;Hannover 96;Defensa
Alfred N’Diaye;1,87;28;4,000,000;32;5;4;4;0;Senegal;Wolverhampton;Mediocentro
Arkadiusz Milik;1,86;24;30,000,000;28;17;5;3;0;Polonia;Napoli;Delantero
Wojciech Szcz?sny;1,95;28;25,000,000;35;0;0;2;0;Polonia;Juventus;Portero
Khadim N’Diaye;1,85;33;500;25;0;0;1;0;Senegal;Horoya AC;Portero
Jan Bednarek;1,89;22;5,000,000;25;2;1;3;0;Polonia;Southampton;Defensa
Cheikh N’Doye;1,92;32;2,000,000;30;4;3;4;0;Senegal;Birmingham City;Mediocentro
Dawid Kownacki;1,85;21;4,000,000;28;10;5;3;0;Polonia;Sampdoria;Delantero
Moussa Konaté;1,8;25;3,000,000;30;12;4;3;0;Senegal;Amiens;Delantero
Bartosz Bereszy?ski;1,83;25;4,000,000;30;2;3;4;0;Polonia;Sampdoria;Lateral
Cheikhou Kouyaté;1,89;28;12,000,000;34;3;4;5;0;Senegal;West Ham United;Mediocentro
Abdallah El Said;1,78;32;1,500,000;28;6;7;3;0;Egipto;Al Ahly;Mediocentro ofensivo
Ahmed Hegazy;1,94;27;5,000,000;34;2;1;4;0;Egipto;West Bromwich;Defensa
Ahmed Fathy;1,75;33;1,000,000;28;1;2;3;0;Egipto;Al Ahly;Lateral
Mohamed Elneny;1,8;25;10,000,000;36;2;4;4;0;Egipto;Arsenal;Mediocentro
Mohamed Salah;1,75;26;150,000,000;52;44;14;4;0;Egipto;Liverpool;Extremo
Ali Gabr;1,88;29;1,000,000;28;1;0;3;0;Egipto;West Bromwich;Defensa
Mohamed Abdel-Shafy;1,75;32;800;26;1;2;3;0;Egipto;Al Fateh;Lateral
Mahmoud Hassan (Trezeguet);1,8;23;7,000,000;34;13;7;4;0;Egipto;Kasimpasa;Extremo
Marwan Mohsen;1,85;29;1,000,000;25;7;3;2;0;Egipto;Al Ahly;Delantero
Tarek Hamed;1,75;29;1,500,000;28;2;2;4;0;Egipto;Zamalek;Mediocentro
Mohamed El-Shenawy;1,91;29;1,500,000;28;0;0;2;0;Egipto;Al Ahly;Portero
Amr Warda;1,8;24;2,000,000;28;6;5;3;0;Egipto;Atromitos;Extremo
Ramadan Sobhi;1,83;21;7,000,000;28;3;4;3;0;Egipto;Stoke City;Extremo
Mahmoud Kahraba;1,82;24;2,500,000;28;8;5;3;0;Egipto;Al-Ittihad;Extremo
Fedor Kudryashov;1,87;31;2,000,000;30;1;1;4;0;Rusia;Rubin Kazan;Defensa
Shinji Kagawa;1,75;29;12,000,000;32;8;7;3;0;Japón;Borussia Dortmund;Mediocentro ofensivo
Makoto Hasebe;1,8;34;1,500,000;30;1;2;4;0;Japón;Eintracht Frankfurt;Mediocentro defensivo
Maya Yoshida;1,89;29;6,000,000;32;2;1;4;0;Japón;Southampton;Defensa
Radamel Falcao;1,77;32;15,000,000;36;24;5;3;0;Colombia;AS Mónaco;Delantero
Yuya Osako;1,82;28;5,000,000;32;12;6;3;0;Japón;Colonia;Delantero
Óscar Murillo;1,84;30;2,000,000;28;1;0;3;0;Colombia;Pachuca;Defensa
José Izquierdo;1,71;25;15,000,000;34;7;6;3;0;Colombia;Brighton;Extremo
Genki Haraguchi;1,78;27;3,000,000;30;6;5;3;0;Japón;Fortuna Düsseldorf;Extremo
Johan Mojica;1,85;25;4,000,000;28;2;3;4;0;Colombia;Girona;Lateral
Hiroki Sakai;1,85;28;5,000,000;34;2;4;4;0;Japón;Marsella;Lateral
Gaku Shibasaki;1,75;26;2,500,000;30;5;6;3;0;Japón;Getafe;Mediocentro
Jefferson Lerma;1,79;23;8,000,000;34;3;4;6;0;Colombia;Levante;Mediocentro
Carlos Sánchez;1,82;32;2,000,000;28;2;2;4;0;Colombia;Espanyol;Mediocentro defensivo
Santiago Arias;1,77;26;12,000,000;36;2;5;4;0;Colombia;PSV Eindhoven;Lateral
Juan Cuadrado;1,76;30;35,000,000;40;8;10;4;0;Colombia;Juventus;Extremo
Juan Quintero;1,69;25;4,000,000;28;7;6;3;0;Colombia;Independiente Medellín;Mediocentro ofensivo
Takashi Inui;1,69;30;6,000,000;34;6;7;3;0;Japón;Eibar;Extremo
Dávinson Sánchez;1,87;22;35,000,000;38;2;1;5;0;Colombia;Tottenham;Defensa
David Ospina;1,83;29;5,000,000;34;0;0;2;0;Colombia;Arsenal;Portero
Gen Shoji;1,82;25;1,500,000;28;2;1;3;0;Japón;Kashima Antlers;Defensa
Yuto Nagatomo;1,7;31;2,000,000;32;1;3;4;0;Japón;Galatasaray;Lateral
Eiji Kawashima;1,85;35;500;28;0;0;1;0;Japón;Metz;Portero
Wilmar Barrios;1,78;24;6,000,000;32;3;4;4;0;Colombia;Boca Juniors;Mediocentro defensivo
James Rodríguez;1,8;26;80,000,000;39;15;12;4;0;Colombia;Bayern Múnich;Mediocentro ofensivo
Carlos Bacca;1,78;31;12,000,000;36;15;6;4;0;Colombia;Villarreal;Delantero
Keisuke Honda;1,82;32;2,500,000;28;7;5;3;0;Japón;Pachuca;Mediocentro ofensivo
Hotaru Yamaguchi;1,73;27;1,500,000;28;3;3;3;0;Japón;Cerezo Osaka;Mediocentro
Shinji Okazaki;1,74;32;4,000,000;30;7;4;3;0;Japón;Leicester City;Delantero
João Moutinho;1,7;31;15,000,000;40;4;8;4;0;Portugal;AS Mónaco;Mediocentro
Khalid Boutaib;1,9;31;2,000,000;30;17;4;3;0;Marruecos;Yeni Malatyaspor;Delantero
Mbark Boussoufa;1,67;33;1,500,000;28;4;6;3;0;Marruecos;Al Jazira;Mediocentro ofensivo
Manuel da Costa;1,87;32;1,500,000;28;2;1;4;0;Marruecos;Basaksehir;Defensa
Hakim Ziyech;1,81;25;25,000,000;40;17;10;5;0;Marruecos;Ajax;Mediocentro ofensivo
Achraf Hakimi;1,81;19;5,000,000;28;2;4;3;0;Marruecos;Real Madrid;Lateral
Gonçalo Guedes;1,79;21;40,000,000;38;7;9;4;0;Portugal;Valencia;Extremo
Younès Belhanda;1,8;28;8,000,000;34;6;7;4;0;Marruecos;Galatasaray;Mediocentro ofensivo
Pepe (Kléper Laveran);1,88;35;5,000,000;30;2;1;5;0;Portugal;Besiktas;Defensa
Medhi Benatia;1,9;31;15,000,000;32;3;2;5;0;Marruecos;Juventus;Defensa
Cristiano Ronaldo;1,87;33;100,000,000;44;44;8;4;0;Portugal;Real Madrid;Delantero
Nordin Amrabat;1,79;31;3,000,000;30;5;6;3;0;Marruecos;Leganés;Extremo
William Carvalho;1,87;26;25,000,000;36;3;5;4;0;Portugal;Sporting CP;Mediocentro defensivo
Cédric Soares;1,72;26;15,000,000;34;2;4;3;0;Portugal;Southampton;Lateral
Bernardo Silva;1,73;23;50,000,000;45;13;14;4;0;Portugal;Manchester City;Extremo
Rui Patrício;1,9;30;20,000,000;38;0;0;2;0;Portugal;Sporting CP;Portero
Nabil Dirar;1,86;32;2,000,000;28;3;4;3;0;Marruecos;Fenerbahçe;Extremo
João Mário;1,79;25;25,000,000;34;5;6;4;0;Portugal;West Ham United;Mediocentro
Karim El Ahmadi;1,8;33;2,000,000;30;3;4;3;0;Marruecos;Feyenoord;Mediocentro
Munir Mohamedi;1,9;29;1,000,000;28;0;0;2;0;Marruecos;Numancia;Portero
Raphaël Guerreiro;1,7;24;25,000,000;32;5;7;4;0;Portugal;Borussia Dortmund;Lateral
José Fonte;1,87;34;2,000,000;28;1;0;4;0;Portugal;West Ham United;Defensa
Gelson Martins;1,73;23;30,000,000;40;13;12;4;0;Portugal;Sporting CP;Extremo
Bruno Fernandes;1,79;23;25,000,000;40;16;8;5;0;Portugal;Sporting CP;Mediocentro ofensivo
Ayoub El Kaabi;1,82;24;2,000,000;28;12;4;3;0;Marruecos;RS Berkane;Delantero
Mehdi Carcela;1,76;29;2,500,000;28;6;5;3;0;Marruecos;Standard Lieja;Extremo
Fayçal Fajr;1,78;29;3,000,000;30;4;6;4;0;Marruecos;Getafe;Mediocentro
Adrien Silva;1,75;29;15,000,000;32;3;4;4;0;Portugal;Leicester City;Mediocentro
Diego Costa;1,86;29;60,000,000;38;22;7;6;0;España;Atlético Madrid;Delantero
Andrés Iniesta;1,7;34;10,000,000;35;4;7;3;0;España;FC Barcelona;Mediocentro
Sergio Busquets;1,89;29;60,000,000;42;2;5;6;0;España;FC Barcelona;Mediocentro defensivo
David Silva;1,7;32;40,000,000;40;10;12;4;0;España;Manchester City;Mediocentro ofensivo
Vahid Amiri;1,79;30;1,500,000;28;4;5;3;0;Irán;Persepolis;Extremo
Sergio Ramos;1,84;32;40,000,000;42;6;2;8;1;España;Real Madrid;Defensa
Omid Ebrahimi;1,75;31;1,500,000;28;3;3;3;0;Irán;Esteghlal;Mediocentro
Jordi Alba;1,7;29;50,000,000;40;3;8;5;0;España;FC Barcelona;Lateral
Gerard Piqué;1,94;31;40,000,000;38;4;2;6;0;España;FC Barcelona;Defensa
Dani Carvajal;1,73;26;50,000,000;36;2;6;5;0;España;Real Madrid;Lateral
Isco;1,76;26;60,000,000;40;9;9;4;0;España;Real Madrid;Mediocentro ofensivo
Lucas Vázquez;1,73;27;25,000,000;38;6;8;4;0;España;Real Madrid;Extremo
Karim Ansarifard;1,87;28;2,500,000;30;17;4;3;0;Irán;Olympiacos;Delantero
Saeid Ezatolahi;1,9;21;1,500,000;26;2;2;3;0;Irán;Amkar Perm;Mediocentro
Sardar Azmoun;1,86;23;8,000,000;32;16;6;3;0;Irán;Rubin Kazan;Delantero
Morteza Pouraliganji;1,85;26;1,500,000;28;2;1;4;0;Irán;Al Sadd;Defensa
Ramin Rezaeian;1,85;28;1,500,000;28;3;3;3;0;Irán;KV Oostende;Lateral
Mehdi Taremi;1,87;25;2,000,000;28;14;5;3;0;Irán;Al Gharafa;Delantero
Majid Hosseini;1,8;22;1,000,000;25;1;0;3;0;Irán;Esteghlal;Defensa
Alireza Beiranvand;1,94;25;1,500,000;28;0;0;2;0;Irán;Persepolis;Portero
Ehsan Hajsafi;1,78;28;2,000,000;30;3;4;4;0;Irán;Olympiacos;Lateral
David de Gea;1,92;27;70,000,000;45;0;0;2;0;España;Manchester United;Portero
Koke (Jorge Resurrección);1,76;26;60,000,000;45;5;10;4;0;España;Atlético Madrid;Mediocentro
Milad Mohammadi;1,78;24;1,500,000;28;2;3;3;0;Irán;Akhmat Grozny;Lateral
Alireza Jahanbakhsh;1,8;24;12,000,000;40;21;12;4;0;Irán;AZ Alkmaar;Extremo
Marco Asensio;1,82;22;80,000,000;40;11;10;4;0;España;Real Madrid;Extremo
Saman Ghoddos;1,8;24;3,000,000;30;10;7;3;0;Irán;Östersunds FK;Extremo
Rodrigo Moreno;1,82;27;40,000,000;38;19;7;4;0;España;Valencia;Delantero
Luis Suárez;1,82;31;90,000,000;51;31;15;6;0;Uruguay;FC Barcelona;Delantero
Fernando Muslera;1,9;31;10,000,000;40;0;0;2;0;Uruguay;Galatasaray;Portero
José Giménez;1,85;23;35,000,000;36;3;1;5;0;Uruguay;Atlético Madrid;Defensa
Rodrigo Bentancur;1,87;20;15,000,000;30;2;4;4;0;Uruguay;Juventus;Mediocentro
Matías Vecino;1,87;26;20,000,000;36;4;5;5;0;Uruguay;Inter de Milán;Mediocentro
José María Cáceres;1,8;31;2,000,000;28;2;1;4;0;Uruguay;Lazio;Defensa
Diego Godín;1,87;32;25,000,000;42;3;1;6;0;Uruguay;Atlético Madrid;Defensa
Guillermo Varela;1,74;25;1,500,000;26;1;2;3;0;Uruguay;Peñarol;Lateral
Cristian Rodríguez;1,78;32;1,000,000;25;5;3;3;0;Uruguay;Peñarol;Extremo
Mohammed Al Owais;1,85;26;1,000,000;28;0;0;2;0;Arabia Saudita;Al Ahli;Portero
Carlos Sánchez;1,82;33;2,000,000;28;2;2;4;0;Uruguay;Monterrey;Mediocentro
Edinson Cavani;1,84;31;60,000,000;48;40;8;5;0;Uruguay;PSG;Delantero
Ali Al-Bulayhi;1,85;28;800;26;1;0;3;0;Arabia Saudita;Al Hilal;Defensa
Hussain Al-Mogahwi;1,78;30;1,000,000;28;3;4;3;0;Arabia Saudita;Al Ahli;Mediocentro
Diego Laxalt;1,78;25;15,000,000;36;4;6;4;0;Uruguay;Genoa;Lateral
Lucas Torreira;1,68;22;25,000,000;36;4;5;5;0;Uruguay;Sampdoria;Mediocentro
Mohammed Kanno;1,87;23;1,500,000;28;3;3;3;0;Arabia Saudita;Al Hilal;Mediocentro
Nahitan Nández;1,75;22;8,000,000;32;5;6;4;0;Uruguay;Boca Juniors;Mediocentro
Marcos Acuña;1,72;26;15,000,000;36;6;8;4;0;Argentina;Sporting CP;Extremo
Gabriel Mercado;1,81;31;6,000,000;32;3;2;4;0;Argentina;Sevilla;Defensa
Enzo Pérez;1,77;32;4,000,000;30;2;4;4;0;Argentina;River Plate;Mediocentro
Paulo Dybala;1,77;24;100,000,000;45;26;7;4;0;Argentina;Juventus;Delantero
Vedran ?orluka;1,92;32;3,000,000;30;1;1;4;0;Croacia;Lokomotiv Moscú;Defensa
Anderson Santamaría;1,85;26;1,500,000;28;2;1;3;0;Perú;Puebla;Defensa
Steven N’Zonzi;1,96;29;30,000,000;40;4;5;5;0;Francia;Sevilla;Mediocentro
Andreas Cornelius;1,93;25;6,000,000;32;12;4;3;0;Dinamarca;Atalanta;Delantero
Bryan Oviedo;1,72;28;2,000,000;28;1;3;3;0;Costa Rica;Sunderland;Lateral
Fágner;1,68;28;3,000,000;30;2;4;4;0;Brasil;Corinthians;Lateral
Douglas Costa;1,7;27;45,000,000;40;7;12;4;0;Brasil;Juventus;Extremo
Yeltsin Tejeda;1,79;26;1,000,000;28;2;3;3;0;Costa Rica;Lausanne-Sport;Mediocentro
Jón Dadi Böðvarsson;1,9;26;2,500,000;30;10;4;3;0;Islandia;Reading;Delantero
Kenneth Omeruo;1,85;24;2,000,000;28;2;1;4;0;Nigeria;Kasimpasa;Defensa
Tyronne Ebuehi;1,87;22;1,500,000;26;1;2;3;0;Nigeria;ADO Den Haag;Lateral
Sverrir Ingason;1,88;24;2,000,000;28;2;1;4;0;Islandia;Rostov;Defensa
Mario Gavranovi?;1,75;28;3,000,000;30;15;5;3;0;Suiza;Dinamo Zagreb;Delantero
Nemanja Radonji?;1,85;22;3,000,000;28;7;5;3;0;Serbia;Estrella Roja;Extremo
Antonio Rüdiger;1,9;25;35,000,000;36;3;3;5;0;Alemania;Chelsea;Defensa
Jonas Hector;1,85;28;25,000,000;34;2;5;4;0;Alemania;Colonia;Lateral
Sebastian Rudy;1,8;28;15,000,000;34;3;6;4;0;Alemania;Bayern Múnich;Mediocentro
Victor Lindelöf;1,87;23;25,000,000;34;2;2;4;0;Suecia;Manchester United;Defensa
?lkay Gündo?an;1,8;27;40,000,000;36;6;7;4;0;Alemania;Manchester City;Mediocentro
Jimmy Durmaz;1,8;29;2,500,000;30;6;5;3;0;Suecia;Toulouse;Extremo
John Guidetti;1,85;26;4,000,000;30;9;4;3;0;Suecia;Alavés;Delantero
Saif-Eddine Khaoui;1,8;23;1,500,000;28;5;4;3;0;Túnez;Troyes;Mediocentro ofensivo
Hamdi Nagguez;1,92;25;1,500,000;28;2;3;3;0;Túnez;Zamalek;Lateral
Yohan Benalouane;1,85;31;1,000,000;25;1;0;3;0;Túnez;Leicester City;Defensa
Marouane Fellaini;1,94;30;10,000,000;32;6;4;5;0;Bélgica;Manchester United;Mediocentro
Michy Batshuayi;1,85;24;25,000,000;30;14;4;3;0;Bélgica;Chelsea / Dortmund;Delantero
Youri Tielemans;1,76;21;20,000,000;34;6;7;4;0;Bélgica;Mónaco;Mediocentro
Moon Seon-Min;1,77;26;800;26;6;5;3;0;Corea del Sur;Incheon United;Extremo
Ju Se-Jong;1,77;27;1,000,000;28;2;3;3;0;Corea del Sur;FC Seoul;Mediocentro
Jesús Corona;1,73;25;20,000,000;38;6;9;4;0;México;Porto;Extremo
Giovani dos Santos;1,74;29;3,000,000;28;6;5;3;0;México;LA Galaxy;Extremo
Hong Chul;1,82;27;1,000,000;28;2;3;3;0;Corea del Sur;Suwon Bluewings;Lateral
Ricardo Ávila;1,8;21;500;20;1;1;2;0;Panamá;Gent;Mediocentro
Fabian Delph;1,74;28;15,000,000;34;3;5;4;0;Inglaterra;Manchester City;Mediocentro
Jamie Vardy;1,79;31;40,000,000;36;23;6;4;0;Inglaterra;Leicester City;Delantero
Felipe Baloy;1,85;37;300;20;2;0;3;0;Panamá;Municipal;Defensa
Abdiel Arroyo;1,85;24;500;22;5;2;2;0;Panamá;Alajuelense;Delantero
Danny Rose;1,73;27;20,000,000;30;2;4;4;0;Inglaterra;Tottenham;Lateral
Jacek Góralski;1,76;25;2,000,000;28;2;2;3;0;Polonia;Ludogorets;Mediocentro
Abel Aguilar;1,85;33;1,000,000;28;2;2;3;0;Colombia;Deportivo Cali;Mediocentro
Yerry Mina;1,95;23;25,000,000;28;6;2;4;0;Colombia;Barcelona;Defensa
Mateus Uribe;1,82;27;6,000,000;32;8;5;4;0;Colombia;América de México;Mediocentro
?ukasz Teodorczyk;1,85;27;7,000,000;32;20;4;3;0;Polonia;Anderlecht;Delantero
Kamil Glik;1,9;30;8,000,000;36;3;1;6;0;Polonia;Mónaco;Defensa
Papa Alioune N’Diaye;1,85;27;6,000,000;34;5;4;5;0;Senegal;Wolverhampton;Mediocentro
Khadim N’Diaye;1,85;33;500;25;0;0;1;0;Senegal;Horoya AC;Portero
Takashi Usami;1,78;26;2,000,000;28;8;5;3;0;Japón;Augsburg;Extremo
André Silva;1,85;22;30,000,000;40;16;6;4;0;Portugal;AC Milan;Delantero
Ricardo Quaresma;1,75;34;5,000,000;32;6;7;4;0;Portugal;Besiktas;Extremo
Aleksey Miranchuk;1,82;22;10,000,000;34;12;8;4;0;Rusia;Lokomotiv Moscú;Mediocentro ofensivo
Sebastián Coates;1,96;27;10,000,000;34;3;2;5;0;Uruguay;Sporting CP;Defensa
Igor Smolnikov;1,8;29;4,000,000;32;2;4;4;0;Rusia;Zenit;Lateral
Giorgian De Arrascaeta;1,72;24;8,000,000;34;12;10;4;0;Uruguay;Cruzeiro;Mediocentro ofensivo
Maximiliano Gómez;1,86;21;12,000,000;36;17;5;4;0;Uruguay;Celta de Vigo;Delantero
Essam El-Hadary;1,88;45;200;20;0;0;1;0;Egipto;Al-Taawoun;Portero
Motaz Hawsawi;1,82;26;1,000,000;28;2;1;3;0;Arabia Saudita;Al Ahli;Defensa
Yasser Al-Mosailem;1,85;34;500;25;0;0;1;0;Arabia Saudita;Al Ahli;Portero
Thiago Alcántara;1,74;27;60,000,000;38;4;7;4;0;España;Bayern Múnich;Mediocentro
Romain Saïss;1,9;28;5,000,000;32;3;3;4;0;Marruecos;Wolverhampton;Defensa
Youssef En-Nesyri;1,88;21;3,000,000;28;8;3;3;0;Marruecos;Málaga;Delantero
Iago Aspas;1,76;30;25,000,000;36;22;6;4;0;España;Celta de Vigo;Delantero
Aziz Bouhaddouz;1,9;31;1,500,000;28;9;4;3;0;Marruecos;St. Pauli;Delantero
Milan Badelj;1,86;29;10,000,000;34;3;5;4;0;Croacia;Fiorentina;Mediocentro
Duje ?aleta-Car;1,92;21;6,000,000;32;2;1;4;0;Croacia;Salzburgo;Defensa
Tin Jedvaj;1,84;22;8,000,000;30;2;2;4;0;Croacia;Bayer Leverkusen;Defensa
Lovre Kalini?;2,01;28;4,000,000;30;0;0;2;0;Croacia;Gent;Portero
Josip Pivari?;1,79;28;2,000,000;28;1;3;3;0;Croacia;Dinamo Kiev;Lateral
Filip Bradari?;1,85;26;3,000,000;30;3;4;3;0;Croacia;Rijeka;Mediocentro
Albert Gudmundsson;1,77;21;1,500,000;25;8;5;2;0;Islandia;PSV Eindhoven;Extremo
Arnór Traustason;1,83;25;2,000,000;28;6;5;3;0;Islandia;Malmö FF;Extremo
Tim Cahill;1,78;38;500;20;6;2;2;0;Australia;Millwall;Delantero
Paolo Hurtado;1,74;27;2,000,000;28;8;6;3;0;Perú;Vitória Guimarães;Extremo
Wilder Cartagena;1,77;23;1,000,000;26;2;2;3;0;Perú;Veracruz;Mediocentro
Djibril Sidibé;1,82;25;20,000,000;36;3;6;4;0;Francia;Mónaco;Lateral
Presnel Kimpembe;1,83;22;25,000,000;34;2;2;4;0;Francia;PSG;Defensa
Thomas Lemar;1,7;22;60,000,000;40;10;11;4;0;Francia;Mónaco;Extremo
Steve Mandanda;1,85;33;3,000,000;30;0;0;2;0;Francia;Marsella;Portero
Benjamin Mendy;1,85;23;40,000,000;28;2;5;3;0;Francia;Manchester City;Lateral
Viktor Fischer;1,81;24;3,000,000;28;7;6;3;0;Dinamarca;Copenhague;Extremo
Kasper Dolberg;1,87;20;25,000,000;32;11;5;3;0;Dinamarca;Ajax;Delantero
Franco Armani;1,89;31;3,000,000;30;0;0;2;0;Argentina;River Plate;Portero
Miloš Veljkovi?;1,88;22;4,000,000;30;2;1;4;0;Serbia;Werder Bremen;Defensa
Filipe Luís;1,82;32;15,000,000;34;2;5;4;0;Brasil;Atlético Madrid;Lateral
Andrija Živkovi?;1,7;21;7,000,000;32;6;7;3;0;Serbia;Benfica;Extremo
Luka Jovi?;1,82;20;10,000,000;28;12;4;3;0;Serbia;Eintracht Frankfurt;Delantero
Marco Fabián;1,71;28;6,000,000;28;7;6;3;0;México;Eintracht Frankfurt;Mediocentro ofensivo
Oribe Peralta;1,78;34;1,500,000;28;9;5;3;0;México;América;Delantero
Niklas Süle;1,95;22;35,000,000;36;3;2;5;0;Alemania;Bayern Múnich;Defensa
Yun Young-Sun;1,85;29;1,000,000;28;2;1;3;0;Corea del Sur;Seongnam FC;Defensa
Leon Goretzka;1,89;23;40,000,000;36;8;7;4;0;Alemania;Schalke 04;Mediocentro
Go Yo-Han;1,7;29;800;26;3;3;3;0;Corea del Sur;FC Seoul;Mediocentro
Kendall Waston;1,96;30;1,500,000;28;4;2;4;0;Costa Rica;Vancouver Whitecaps;Defensa
Josip Drmi?;1,85;25;6,000,000;28;8;4;3;0;Suiza;Borussia Mönchengladbach;Delantero
Rodney Wallace;1,8;29;1,000,000;26;3;3;3;0;Costa Rica;New York City FC;Extremo
Randall Azofeifa;1,78;33;500;25;2;2;2;0;Costa Rica;Herediano;Mediocentro
Ian Smith;1,75;20;800;22;1;2;2;0;Costa Rica;Norrköping;Lateral
Oussama Haddadi;1,85;26;1,500,000;28;2;3;3;0;Túnez;Dijon;Lateral
Adolfo Machado;1,82;33;500;25;1;1;2;0;Panamá;Houston Dynamo;Defensa
Ghilane Chaalali;1,8;24;1,500,000;28;3;4;3;0;Túnez;Espérance Tunis;Mediocentro
Luis Ovalle;1,77;29;500;25;1;2;2;0;Panamá;Olimpia;Lateral
Rami Bedoui;1,85;28;1,000,000;26;2;1;3;0;Túnez;Étoile du Sahel;Defensa
Aymen Mathlouthi;1,85;34;500;25;0;0;2;0;Túnez;Étoile du Sahel;Portero
Harold Cummings;1,8;26;1,000,000;26;2;1;3;0;Panamá;San José Earthquakes;Defensa
